,country,YEARS,pop,continent,lifeExp,gdpPercap
1164,Pakistan,1952,41346560.0,Asia,43.436,684.5971438
1165,Pakistan,1957,46679944.0,Asia,45.557,747.0835292
1166,Pakistan,1962,53100671.0,Asia,47.67,803.3427418
1167,Pakistan,1967,60641899.0,Asia,49.8,942.4082588
1168,Pakistan,1972,69325921.0,Asia,51.929,1049.938981
1169,Pakistan,1977,78152686.0,Asia,54.043,1175.921193
1170,Pakistan,1982,91462088.0,Asia,56.158,1443.429832
1171,Pakistan,1987,105186881.0,Asia,58.245,1704.686583
1172,Pakistan,1992,120065004.0,Asia,60.838,1971.829464
1173,Pakistan,1997,135564834.0,Asia,61.818,2049.350521
1174,Pakistan,2002,153403524.0,Asia,63.61,2092.712441
1175,Pakistan,2007,169270617.0,Asia,65.483,2605.94758
